Date, Close/Last, Volume, Open, High, Low
05/08/2014, $197.05, 2493584, $201.13, $203.047, $195.55
05/07/2014, $202, 1947971, $203.54, $203.88, $198.67
05/06/2014, $203.19, 1341239, $205.99, $207.404, $203.15
05/05/2014, $207.9, 2260524, $201.11, $208.41, $199.03
05/02/2014, $202.34, 2087377, $207.93, $208.69, $202.24
05/01/2014, $207.77, 3070375, $204.67, $212.68, $204.33
04/30/2014, $204.33, 3804386, $203.5, $205.44, $200.12
04/29/2014, $197.81, 2167078, $198.87, $199.92, $194.84
04/28/2014, $196.9, 2365448, $199.87, $201.8, $193.08
04/25/2014, $198.07, 2190919, $202.07, $202.6599, $197.54
04/24/2014, $202.63, 2139093, $204.02, $204.766, $198.74
04/23/2014, $203.51, 1345352, $205.56, $205.8, $202.13
04/22/2014, $205.67, 3543442, $204, $211.84, $203.82
04/21/2014, $202.91, 1834513, $198.05, $203.82, $197.53
04/17/2014, $197.39, 1522676, $198.49, $200.8799, $195.37
04/16/2014, $199.38, 2892527, $197.385, $200.505, $195
04/15/2014, $193.94, 2721858, $191.01, $194.35, $186.301
04/14/2014, $189.13, 2209848, $189.85, $193.27, $184.71
04/11/2014, $188.83, 3490341, $187.73, $194.93, $185.86
04/10/2014, $191.29, 3877115, $202, $202.05, $190.125
04/09/2014, $201.86, 3797671, $195.01, $201.948, $194.016
04/08/2014, $191.08, 7376518, $195.07, $195.298, $185.02
04/07/2014, $194.88, 3529392, $200.53, $203.97, $192.091
04/04/2014, $201.31, 2495919, $208, $210.74, $199.88
04/03/2014, $206.98, 2174998, $208.1, $209.65, $204.61
04/02/2014, $208.77, 1968566, $210.01, $211.99, $207.42
04/01/2014, $209.22, 4041332, $205.34, $213.5, $204.86
03/31/2014, $205.85, 2255648, $206.47, $207.03, $202.57
03/28/2014, $203.77, 1755196, $203.27, $208.395, $201.9
03/27/2014, $202.87, 2809453, $202.92, $205.54, $198.4
03/26/2014, $202.94, 2296396, $207.16, $209.71, $202.91
03/25/2014, $206.27, 2690527, $207.72, $212.65, $205.02
03/24/2014, $206.29, 3941037, $209.07, $210.31, $201.6
03/21/2014, $209.37, 3911128, $215.68, $215.88, $208.81
03/20/2014, $215.72, 1609190, $216.58, $218.73, $214.18
03/19/2014, $216.48, 1393464, $218.95, $220.67, $214.69
03/18/2014, $218.68, 2168325, $214.55, $221.1, $214.29
03/17/2014, $214.2, 1761206, $215.96, $219.07, $213.1
03/14/2014, $214.52, 2166427, $210.34, $215.95, $209.08
03/13/2014, $210.9, 2387109, $213.03, $217.21, $210.179
03/12/2014, $212.38, 1946898, $210.31, $213.29, $207.5013
03/11/2014, $210.1, 2607004, $208.97, $214.63, $207.05
03/10/2014, $208.68, 3254486, $209.56, $212.74, $206.49
03/07/2014, $213.18, 4897451, $215.59, $216.09, $206.48
03/06/2014, $213.95, 4153973, $224.96, $225.45, $213.88
03/05/2014, $224.55, 1520188, $227.06, $227.39, $223.725
03/04/2014, $226.12, 2535315, $222.52, $227.39, $222.38
03/03/2014, $218.82, 2821722, $213, $219.42, $212.35
02/28/2014, $220.82, 3718340, $227.61, $227.71, $219.66
02/27/2014, $227.15, 2087115, $226.91, $229.3, $225.45
02/26/2014, $227.26, 3643948, $225.88, $230.77, $225.13
02/25/2014, $225, 3425045, $222, $226.42, $221.38
02/24/2014, $222.37, 3213521, $217.75, $223.655, $217.75
02/21/2014, $218.41, 4371786, $217.99, $219.26, $213.67
02/20/2014, $220.37, 5881490, $211.45, $222.24, $210.49
02/19/2014, $210.56, 8785503, $205.44, $213.11, $203.59
02/18/2014, $201.47, 14968330, $205.04, $208.7463, $201.41
02/14/2014, $191.88, 763671, $191.94, $192.318, $190.6
02/13/2014, $191.63, 1117180, $189.82, $191.8599, $187.26
02/12/2014, $189.97, 1105860, $192.74, $193.21, $189.214
02/11/2014, $191.25, 1813338, $189.06, $191.78, $187.34
02/10/2014, $188.76, 1129746, $188.17, $188.9, $186.31
02/07/2014, $188.21, 1843001, $183.61, $188.9699, $183
02/06/2014, $182.86, 1742339, $183.95, $184.61, $181.85
02/05/2014, $183.82, 1469795, $185.18, $185.505, $180.7
02/04/2014, $185.06, 1766202, $185.08, $186.18, $181.281
02/03/2014, $182.07, 2203931, $190, $190.27, $181.512
01/31/2014, $188.98, 2292802, $183.3, $191.17, $183.13
01/30/2014, $186.69, 2050913, $184.78, $188.02, $183.54
01/29/2014, $180.76, 1746665, $183.08, $183.83, $180
01/28/2014, $184.16, 1826930, $179.99, $184.55, $179.1101
01/27/2014, $178.7, 1993912, $177.84, $180.22, $174.94
01/24/2014, $177.19, 2099137, $181.34, $182.96, $176.341
01/23/2014, $183.17, 1662088, $186.18, $186.668, $181.34
01/22/2014, $185.4, 1878713, $186, $189.78, $185
01/21/2014, $185.84, 1631493, $186, $186.14, $183.59
01/17/2014, $183.28, 1465485, $181.23, $184.26, $181.18
01/16/2014, $180.72, 1625903, $181.2, $181.8, $179.6
01/15/2014, $181.8, 1891990, $186, $186.34, $181.28
01/14/2014, $186, 1763204, $182.5, $186.98, $182.35
01/13/2014, $181.29, 1216893, $183.67, $184.79, $180.93
01/10/2014, $183.32, 1568218, $184.39, $186.74, $180.812
01/09/2014, $179.94, 1697753, $179.64, $183.14, $177.7328
01/08/2014, $177.11, 2326282, $170.08, $177.789, $169.5
01/07/2014, $169.9, 1188998, $169.56, $172.49, $169.19
01/06/2014, $167.93, 962130, $169.52, $171.47, $167.005
01/03/2014, $168.02, 615588, $167.52, $168.66, $166.38
01/02/2014, $168.05, 1268722, $167.33, $170.71, $166.5937
12/31/2013, $168, 763617, $166, $168.37, $165.5
12/30/2013, $165.64, 351222, $165.49, $165.97, $164.4
12/27/2013, $165.14, 443066, $165.65, $165.88, $164.39
12/26/2013, $165.63, 714677, $165.08, $166.73, $164.07
12/24/2013, $164.9, 518080, $165.95, $166.12, $164.01
12/23/2013, $165.96, 950932, $163.68, $166.58, $163.67
12/20/2013, $162.51, 3088032, $165.29, $165.59, $161.92
12/19/2013, $165.29, 872167, $164.61, $166.04, $163.33
12/18/2013, $164.9, 1452275, $160.42, $165.4, $158.57
12/17/2013, $159.89, 1754739, $159.64, $160.85, $156.4
12/16/2013, $159.66, 1024011, $161.47, $162.91, $159.44
12/13/2013, $159.82, 892370, $159.54, $161.36, $158.92
